PA450369	meperidine	Meperidine	N	NERVOUS SYSTEM	N02	Analgesic drugs	Nervous system	Analgesic drugs	N02AB02	NA	N02A	OPIOIDS
PA166152829	flupirtine	Flupirtine	N	NERVOUS SYSTEM	N02	Other analgesics and antipyretics	NERVOUS SYSTEM	Other analgesics and antipyretics	N02BG07	NA	N02B	OTHER ANALGESICS AND ANTIPYRETICS
PA166153491	brivaracetam	Brivaracetam	N	NERVOUS SYSTEM	N03A	Antiepileptic drugs	Nervous system	Antiepileptic drugs	N03AX23	NA	N03A	ANTIEPILEPTICS
PA450206	levetiracetam	Levetiracetam	N	NERVOUS SYSTEM	N03A	Other antiepileptics	NERVOUS SYSTEM	Other antiepileptics	N03AX14	NA	N03A	ANTIEPILEPTICS
PA450374	methylphenobarbital	Methylphenobarbital	N	NERVOUS SYSTEM	N03A	Antiepileptic drugs	Nervous system	Antiepileptic drugs	N03AA01	NA	N03A	ANTIEPILEPTICS
PA448360	amantadine	Amantadine	N	NERVOUS SYSTEM	N04	Adamantane derivatives	NERVOUS SYSTEM	Adamantane derivatives	N04BB01	NA	N04B	DOPAMINERGIC AGENTS
PA451316	selegiline	Selegiline	N	NERVOUS SYSTEM	N04	Monoamine oxidase B inhibitors	NERVOUS SYSTEM	Monoamine oxidase B inhibitors	N04BD01	NA	N04B	DOPAMINERGIC AGENTS
PA165282097	bromperidol	Bromperidol	N	NERVOUS SYSTEM	N05A	Butyrophenone derivatives	NERVOUS SYSTEM	Butyrophenone derivatives	N05AD06	NA	N05A	ANTIPSYCHOTICS
PA450267	lorazepam	Lorazepam	N	NERVOUS SYSTEM	N05	Benzodiazepine derivatives	NERVOUS SYSTEM	Benzodiazepine derivatives	N05BA06	NA	N05B	ANXIOLYTICS
PA450731	oxazepam	Oxazepam	N	NERVOUS SYSTEM	N05	Benzodiazepine derivatives	NERVOUS SYSTEM	Benzodiazepine derivatives	N05BA04	NA	N05B	ANXIOLYTICS
PA10323	l-tryptophan	L-Tryptophan	N	NERVOUS SYSTEM	N06	Psychoanaleptics	Nervous system	Psychoanaleptics	N06AX02	NA	N06A	ANTIDEPRESSANTS
PA450322	maprotiline	Maprotiline	N	NERVOUS SYSTEM	N06	Psychoanaleptics	Nervous system	Psychoanaleptics	N06AA21	NA	N06A	ANTIDEPRESSANTS
PA448408	amphetamine	Amphetamine	N	NERVOUS SYSTEM	N06	Psychoanaleptics	Nervous system	Psychoanaleptics	N06BA01	NA	N06B	PSYCHOSTIMULANTS
PA449269	dextroamphetamine	Dextroamphetamine	N	NERVOUS SYSTEM	N06	Psychoanaleptics	Nervous system	Psychoanaleptics	N06BA02	NA	N06B	PSYCHOSTIMULANTS
PA450403	methamphetamine	Methamphetamine	N	NERVOUS SYSTEM	N06	Psychoanaleptics	Nervous system	Psychoanaleptics	N06BA03	NA	N06B	PSYCHOSTIMULANTS
PA452619	heroin	Heroin	N	NERVOUS SYSTEM	N07	Other nervous system drugs	Nervous system	Other nervous system drugs	N07BC06	NA	N07B	DRUGS USED IN ADDICTIVE DISORDERS
PA165111698	artemether	Artemether	P	"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"	P01	Antiprotozoal drugs	"Antiparasitic products, insecticides and repellents"	Antiprotozoal drugs	P01BE02	NA	P01B	ANTIMALARIALS
PA164777036	hydroxychloroquine	Hydroxychloroquine	P	"ANTIPARASITIC PRODUCTS, INSECTICIDES AND REPELLENTS"	P01	Antiprotozoal drugs	"Antiparasitic products, insecticides and repellents"	Antiprotozoal drugs	P01BA02	NA	P01B	ANTIMALARIALS
PA166115580	tafenoquine	Tafenoquine	P	ANTIPARASITIC PRODUCTS	P01	Aminoquinolines	ANTIPARASITIC PRODUCTS	Aminoquinolines	P01BA07	NA	P01B	ANTIMALARIALS
PA164769056	tiotropium	Tiotropium	R	RESPIRATORY SYSTEM	R03	Drugs for obstructive airway diseases	Respiratory system	Drugs for obstructive airway diseases	R03BB04	NA	R03B	OTHER DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES
PA165950341	ivacaftor	Ivacaftor	R	RESPIRATORY SYSTEM	R07A	Other respiratory system products	RESPIRATORY SYSTEM	Other respiratory system products	R07AX02	NA	R03D	OTHER SYSTEMIC DRUGS FOR RESPIRATORY DISEASES
PA166114483	lumacaftor	Lumacaftor	R	RESPIRATORY SYSTEM	R07A	Other respiratory system products	Respiratory system	Other respiratory system products	R07AX	NA	R03D	OTHER SYSTEMIC DRUGS FOR RESPIRATORY DISEASES
PA451949	zafirlukast	Zafirlukast	R	RESPIRATORY SYSTEM	R03	Drugs for obstructive airway diseases	Respiratory system	Drugs for obstructive airway diseases	R03DC01	NA	R03D	OTHER SYSTEMIC DRUGS FOR RESPIRATORY DISEASES
PA451955	zileuton	Zileuton	R	RESPIRATORY SYSTEM	R03	Drugs for obstructive airway diseases	Respiratory system	Drugs for obstructive airway diseases	R03D	NA	R03D	OTHER SYSTEMIC DRUGS FOR RESPIRATORY DISEASES
PA448018	acetazolamide	Acetazolamide	S	SENSORY ORGANS	S01	Carbonic anhydrase inhibitors	SENSORY ORGANS	Carbonic anhydrase inhibitors	S01EC01	NA	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS
PA448031	acetylcholine	Acetylcholine	S	SENSORY ORGANS	S01	Parasympathomimetics	SENSORY ORGANS	Parasympathomimetics	S01EB09	NA	S01E	ANTIGLAUCOMA PREPARATIONS AND MIOTICS
PA164760843	deferasirox	Deferasirox	V	VARIOUS	V03A	Iron chelating agents	VARIOUS	Iron chelating agents	V03AC03	NA	V04C	OTHER DIAGNOSTIC AGENTS
PA166118041	deferiprone	Deferiprone	.	VARIOUS	.	Iron chelating agents	VARIOUS	Iron chelating agents	V03AC02	NA	V04C	OTHER DIAGNOSTIC AGENTS
PA449259	dexrazoxane	Dexrazoxane	V	VARIOUS	V03A	Detoxifying agents for antineoplastic treatment	VARIOUS	Detoxifying agents for antineoplastic treatment	V03AF02	NA	V04C	OTHER DIAGNOSTIC AGENTS
PA165958406	dimercaprol	Dimercaprol	V	VARIOUS	V03A	Antidotes	VARIOUS	Antidotes	V03AB09	NA	V04C	OTHER DIAGNOSTIC AGENTS
PA10176	rasburicase	Rasburicase	V	VARIOUS	V03A	Detoxifying agents for antineoplastic treatment	VARIOUS	Detoxifying agents for antineoplastic treatment	V03AF07	NA	V04C	OTHER DIAGNOSTIC AGENTS
